63,47,20
75,20,15
41,62,16
62,11,14
72,42,17
64,30,13
68,47,19
39,61,17
62,27,18
63,32,16
66,26,14
71,21,17
15,66,11
0,78,12
69,11,14
62,20,11
58,59,20
63,36,19
14,62,12
67,31,18
42,63,20
62,21,14
67,4,14
59,48,20
70,32,17
39,53,20
65,28,15
59,47,20
37,66,18
74,11,15
53,59,20
48,61,18
62,29,17
52,60,20
44,63,20
66,11,15
53,56,20
24,64,15
68,38,19
58,36,20
65,3,12
55,56,20
43,61,16
28,62,20
56,58,20
63,38,17
62,37,19
68,14,16
62,60,18
61,38,20
57,52,20
20,65,14
61,37,18
38,61,15
73,22,15
54,58,20
61,41,19
54,64,20
28,69,16
40,68,15
40,61,18
44,55,20
24,67,15
62,51,16
43,62,17
44,81,19
63,10,14
15,68,16
80,17,15
66,52,20
23,65,13
66,28,15
73,27,19
62,18,18
73,10,11
63,11,14
48,66,20
0,75,9
60,42,20
33,60,20
66,47,20
72,35,20
32,62,15
31,72,14
47,67,18
58,45,20
64,10,15
64,6,14
68,31,13
64,49,17
35,66,20
66,41,19
69,33,19
64,28,13
70,5,15
69,44,16
31,64,17
39,63,15
62,0,11
64,29,15
63,7,13
70,47,19
62,41,16
53,58,20
44,64,18
79,27,19
81,16,18
38,65,20
61,33,17
34,57,20
55,50,20
77,28,14
64,24,16
62,3,11
71,24,16
67,17,11
49,49,20
61,41,19
71,14,12
69,38,19
65,10,17
70,20,13
4,69,9
32,69,19
55,59,20
65,10,15
63,4,13
67,15,11
61,31,15
61,0,11
26,61,14
63,28,19
64,3,10
64,12,16
61,32,19
64,53,18
67,39,19
64,0,12
63,60,19
25,69,16
26,70,18
34,56,20
47,64,17
65,28,15
39,61,17
7,62,12
48,61,18
66,6,11
78,31,15
32,65,18
67,36,19
64,32,19
58,60,20
66,30,19
63,25,14
14,64,13
43,54,20
63,43,19
61,25,14
61,43,19
65,27,17
54,35,20
61,24,16
64,10,11
63,54,19
42,74,20
31,68,16
62,21,14
65,9,10
47,63,18
52,58,20
63,17,13
64,45,19
33,55,20
72,4,11
8,70,15
22,62,16
31,67,14
69,19,17
62,16,13
65,50,19
48,62,19
38,58,20
55,62,20
18,65,17
66,0,12
69,52,20
64,39,19
52,66,19
62,47,20
63,19,16
64,12,14
10,63,11
11,62,16
68,51,19
14,70,12
63,58,19
74,11,19
62,0,8
64,6,11
70,15,18
66,25,16
16,65,10
65,27,17
27,64,14
63,17,13
14,61,13
41,61,15
67,10,13
80,32,19
67,25,15
71,8,10
72,35,17
18,63,19
66,4,15
70,4,13
68,41,19
65,51,20
13,65,15
66,35,14
69,44,20
69,37,20
69,26,17
69,34,19
64,14,15
62,6,10
34,63,15
16,65,16
63,15,15
9,61,17
70,42,20
61,10,11
69,45,19
62,16,12
52,34,20
47,61,20
71,14,14
65,30,14
62,29,16
64,42,19
67,3,13
69,13,13
63,23,13
47,57,20
70,19,15
66,41,19
61,0,11
70,24,15
61,3,13
62,19,20
38,69,16
19,62,16
58,53,20
62,0,12
53,47,20
64,0,14
33,62,16
65,37,18
63,52,20
65,0,7
67,43,20
73,26,18
71,15,17
64,49,16
50,47,20
62,27,17
63,43,16
70,24,15
67,6,12
24,72,15
66,28,19
70,14,16
67,35,20
64,43,19
64,32,16
65,16,14
16,61,16
8,71,11
64,41,14
62,34,20
61,35,17
21,62,9
27,59,20
62,15,11
54,51,20
58,51,20
31,68,15
62,3,12
27,68,20
52,47,20
68,14,17
73,10,14
64,35,14
70,11,14
63,16,16
66,26,17
63,23,17
64,22,18
61,58,19
62,22,15
72,29,19
62,24,19
51,65,18
32,65,19
69,42,19
72,35,20
6,68,11
56,55,20
51,61,18
41,57,20
61,0,13
49,69,20
65,34,17
26,62,17
52,54,20
63,26,18
20,62,12
66,36,18
29,66,17
68,21,18
66,0,12
64,20,15
50,52,20
39,61,20
64,18,16
62,22,15
38,57,20
72,27,17
69,27,19
13,64,15
65,32,17
67,38,19
70,44,20
62,28,16
15,61,14
64,47,20
20,66,14
63,21,15
61,0,10
62,45,19
11,67,11
71,54,20
64,55,20
55,61,20
68,11,15
68,51,19
63,43,19
62,47,19
67,52,20
70,16,15
65,45,18
61,14,17
61,27,15
54,55,20
10,74,15
43,58,20
18,73,16
13,64,13
65,0,7
72,52,19
25,70,20
66,40,19
65,4,15
60,62,18
62,46,20
15,63,15
64,40,19
65,10,13
61,18,11
63,7,16
6,61,18
35,61,11
29,67,15
40,61,18
45,59,20
21,70,16
61,35,19
70,2,10
70,35,17
63,39,19
40,63,17
64,15,17
76,0,14
13,62,16
62,35,14
62,19,16
35,61,17
43,43,20
25,61,15
62,27,17
28,67,17
65,33,17
58,58,20
60,37,20
60,59,20
64,13,15
66,27,18
69,0,13
10,68,10
63,35,19
71,19,16
61,28,17
65,41,20
74,35,18
62,19,10
73,30,17
61,51,17
51,52,20
62,17,13
71,18,15
13,71,18
62,16,10
63,54,19
61,26,12
64,21,13
69,32,18
45,40,20
68,53,19
62,9,12
63,16,16
69,24,13
62,35,19
57,43,20
62,26,18
44,69,18
57,48,20
65,46,18
65,17,12
58,53,20
33,66,17
14,61,16
61,14,10
29,63,15
58,49,20
46,61,20
64,38,15
36,65,18
66,0,15
71,28,19
70,11,17
61,20,11
61,0,15
61,13,7
68,35,19
65,23,18
25,66,18
62,4,10
62,44,15
54,53,20
58,51,20
65,19,15
62,15,14
53,56,20
15,67,12
66,41,18
30,61,16
65,7,14
70,24,17
62,34,19
35,73,15
57,34,20
61,42,19
30,74,16
35,64,16
69,2,14
63,5,11
73,13,16
67,39,18
20,69,19
70,26,17
63,46,20
22,63,10
55,64,17
66,32,19
60,65,20
14,63,14
65,15,13
62,37,16
63,21,15
62,20,16
59,58,20
70,42,19
62,24,16
71,0,6
46,41,20
72,34,20
69,50,18
68,21,13
61,4,12
73,45,13
68,12,15
70,28,19
73,15,12
53,47,20
64,2,12
64,23,20
64,0,9
81,11,17
62,0,10
64,22,16
71,42,17
22,67,16
70,0,7
54,40,20
75,7,16
51,58,20
64,51,20
64,43,20
50,60,20
63,18,10
60,49,20
53,57,20
50,55,20
29,63,15
63,51,18
57,30,20
68,52,20
9,64,13
0,63,5
63,56,19
57,51,20
62,15,16
76,35,16
78,19,17
63,24,14
70,23,15
39,53,20
70,7,13
67,20,15
71,43,20
30,61,10
32,56,20
24,67,11
61,10,14
48,64,18
70,18,20
61,15,13
68,44,18
72,17,16
82,30,18
66,25,16
66,22,13
61,36,20
56,53,20
75,33,19
19,65,16
59,50,20
69,26,16
68,14,14
53,48,20
71,42,19
61,37,17
62,55,20
